email,first_name,last_name,cf_id,company_name,description,end_date,Left of Goal,outcome
sabbott@live.com,Shelton,Abbott,1911,Willis and Sons,Fundamental incremental database,2021-06-16,72323.00,live
jabeln@gmail.com,Justin,Abeln,563,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872.00,live
mabeln@live.com,Monika,Abeln,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00,live
mabeln@yandex.com,Melina,Abeln,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
vabeln@protonmail.com,Val,Abeln,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00,live
aabraham@outlook.com,Affonso,Abraham,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
aabraham@yandex.com,Alwina,Abraham,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
cabraham@protonmail.com,Crissy,Abraham,238,Parker PLC,Reduced interactive matrix,2021-07-21,41198.00,live
iabraham@yahoo.com,Ippolito,Abraham,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
kabraham@yandex.com,Kaina,Abraham,1114,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154.00,live
mabraham@gmail.com,Mila,Abraham,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00,live
oabraham@gmail.com,Ornella,Abraham,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
oabraham@yandex.com,Ottavia,Abraham,563,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872.00,live
pabraham@live.com,Paco,Abraham,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
sabraham@live.com,Susi,Abraham,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
sabraham@outlook.com,Santiago,Abraham,2284,Foley-Cox,Progressive zero administration leverage,2022-01-13,151747.00,live
vabraham@protonmail.com,Vella,Abraham,563,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872.00,live
babt@protonmail.com,Bret,Abt,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00,live
eabt@yahoo.com,Edgar,Abt,1114,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154.00,live
habt@live.com,Hedwig,Abt,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
habt@yandex.com,Harmony,Abt,1114,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154.00,live
kabt@live.com,Klothilda,Abt,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00,live
labt@yandex.com,Leonida,Abt,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
mabt@live.com,Melvin,Abt,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
rabt@outlook.com,Randell,Abt,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00,live
sabt@gmail.com,Sandie,Abt,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
tabt@live.com,Tawny,Abt,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
tabt@yahoo.com,Teresia,Abt,563,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872.00,live
gaccordino@live.com,Garth,Accordino,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
aacevedo@gmail.com,Alphonse,Acevedo,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
iacevedo@live.com,Ian,Acevedo,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
iacevedo@protonmail.com,Isaure,Acevedo,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
racevedo@live.com,Ricciardo,Acevedo,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
wacevedo@yandex.com,Warner,Acevedo,1114,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154.00,live
sachille@gmail.com,Sigrid,Achille,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
aachilles@outlook.com,Ashanti,Achilles,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00,live
machilles@live.com,Margarete,Achilles,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00,live
oachilles@yahoo.com,Otha,Achilles,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
wachilles@yahoo.com,Wilfreda,Achilles,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00,live
bachterberg@gmail.com,Borachio,Achterberg,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
cachterberg@yahoo.com,Camelia,Achterberg,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00,live
gachterberg@live.com,Gianni,Achterberg,563,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872.00,live
iachterberg@gmail.com,Italina,Achterberg,1114,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154.00,live
tachterberg@yandex.com,Trent,Achterberg,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
aacker@yahoo.com,Alica,Acker,1114,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154.00,live
dacker@protonmail.com,Del,Acker,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
tacker@gmail.com,Tristan,Acker,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
tacker@outlook.com,Tandy,Acker,563,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872.00,live
wacker@protonmail.com,Waltraud,Acker,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
gackermann@yandex.com,Giraldo,Ackermann,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00,live
kackermann@gmail.com,Kanisha,Ackermann,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00,live
kackermann@protonmail.com,Kasie,Ackermann,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
mackermann@live.com,Marc,Ackermann,2284,Foley-Cox,Progressive zero administration leverage,2022-01-13,151747.00,live
kacosta@yahoo.com,Keturah,Acosta,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00,live
tacosta@yandex.com,Tancredo,Acosta,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
pacquaviva@gmail.com,Pasquale,Acquaviva,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
facri@yandex.com,Florentina,Acri,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
aadam@gmail.com,August,Adam,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00,live
badam@live.com,Boris,Adam,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
hadam@protonmail.com,Hiba,Adam,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00,live
iadam@protonmail.com,Imma,Adam,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00,live
jadam@protonmail.com,Janeth,Adam,1114,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154.00,live
ladam@yahoo.com,Louie,Adam,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
radam@live.com,Rayane,Adam,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
ladamo@yahoo.com,Lukas,Adamo,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00,live
dadams@yahoo.com,Drew,Adams,563,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872.00,live
eadams@outlook.com,Edith,Adams,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00,live
kadams@outlook.com,Kristin,Adams,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00,live
madams@outlook.com,Marlen,Adams,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00,live
